"XYZ","GY65RFC","Columbus",873,1000,"INPROGRESS","Kumar","Columbus",93,"Honda S2000","Kristen ",2011,50090,"1234567890A123503","A123B93","W_160955","Maryland","6/13/2010","Gonzales "
"XYZ","FR43WED","St. Mary",873,1038,"INPROGRESS","Kennedy","St. Mary",131,"Hyundai Accent","Taylor ",2009,50128,"1234567890A123541","A123B131","W_160922","Houston","05-02-2010","Crawford "
"XYZ","JU23VGA","LakeView",873,1113,"INPROGRESS","Johnson","LakeView",206,"Honda Accord","Evan ",2009,50203,"1234567890A123616","A123B206","W_160933","Redmond","08-09-2012","Vasquez"
"XYZ","IK87CXB","ParkView",873,1226,"INPROGRESS","Samuel","ParkView",319,"Ford Fusion","William",2011,50316,"1234567890A123729","A123B319","W_160944","Minnesota","5/31/2010","Ball"
"XYZ","CQ09POC","St. Mary",873,1314,"INPROGRESS","Kennedy","St. Mary",407,"Ford Fusion","Mary ",2009,50404,"1234567890A123817","A123B407","W_160955","Houston","11/16/2013","Paul"
"XYZ","VF56YHC","LakeView",873,1353,"INPROGRESS","Johnson","LakeView",446,"Jaguar XJ Series","Bryan ",2012,50443,"1234567890A123856","A123B446","W_160955","Redmond","7/16/2011","Pittman"
"XYZ","JU78HYD","Alfredo",873,1441,"INPROGRESS","Li","Alfredo",534,"Jaguar XJ Series","Justin ",2010,50531,"1234567890A123944","A123B534","W_160977","Las Vegas","9/23/2012","Huffman"
"XYZ","JI87VFE","Columbus",873,1546,"INPROGRESS","Kumar","Columbus",639,"Ford Focus","Janae",2011,50636,"1234567890A124049","A123B639","W_160988","Maryland","11/25/2010","Tanner"
"XYZ","VG56IOF","LakeView",873,1629,"INPROGRESS","Johnson","LakeView",722,"Jaguar XK Series","Colin ",2012,50719,"1234567890A124132","A123B722","W_160222","Redmond","12-04-2011","Hatfield"
"XYZ","JU87NHF","ParkView",873,1712,"INPROGRESS","Samuel","ParkView",805,"Ferrari California","  Rikki",2009,50802,"1234567890A124215","A123B805","W_160333","Minnesota","05-10-2011","Hinton"
"XYZ","LO98JUG","Alfredo",873,1795,"INPROGRESS","Li","Alfredo",888,"Honda S2000","  Madalyn ",2010,50885,"1234567890A124298","A123B888","W_160333","Las Vegas","21/20/2012","Duffy"
"XYZ","TH56HVH","St. Mary",873,1878,"INPROGRESS","Kennedy","St. Mary",971,"Jaguar XJ Series","Demetrius ",2012,50968,"1234567890A124381","A123B971","W_160444","Houston","12/31/2010","Bird"
"XYZ","II67NII","Falls",873,1961,"INPROGRESS","Bond","Falls",1054,"Mazda CX-7","  Mila ",2009,51051,"1234567890A124464","A123B1054","W_160555","Austin","4/21/2012","Reed "
"XYZ","II65TII","Columbus",873,2044,"INPROGRESS","Kumar","Columbus",1137,"Mazda CX-9","  Dylan ",2010,51134,"1234567890A124547","A123B1137","W_160777","Maryland","4/23/2012","Warren "
"XYZ","TH56HVH","St. Mary",873,1878,"INPROGRESS","Kennedy","St. Mary",971,"Hyundai Elantra","Demetrius ",2009,50968,"1234567890A124381","A123B971","W_160444","Houston","12/31/2010","Bird"
